"","year","standing","harvest"
"1",30,0.346400902195681,0
"2",30.1,0.343968792854163,0
"3",35,1.40160253031865,0
"4",35.1,1.39176176320321,0
"5",40,2.52573327591606,0
"6",40.1,2.50799989400047,0
"7",45,3.33919226847612,0
"8",45.1,3.24678419237985,0.0694509522866944
"9",50,4.10505500002328,0
"10",50.1,1.82968255076875,2.26243526391626
"11",55,2.15134627195353,0
"12",55.1,0.924194670672941,1.22061687330927
"13",60,1.00260761075862,0
"14",60.1,0.604650355003957,0.393681938320904
"15",65,0.764770266107369,0
"16",65.1,0.759400750911174,0
"17",70,0.889107778659903,0
"18",70.1,0.785732777515171,0.0978192993838974
"19",75,0.900482395003663,0
"20",75.1,0.483213002953503,0.413852724948837
"21",80,0.475071597247308,0
"22",80.1,0.372770201492778,0.0996656395227873
"23",85,0.367767473191725,0
"24",85.1,0.247865722884281,0.118149159512602
"25",90,0.258541989688437,0
"26",90.1,0.113177723095013,0.144564017840312
"27",95,0.105662737448284,0
"28",95.1,0.104920870642599,0
"29",100,0.101901837477836,0
"30",100.1,0.101186376261434,0
"31",105,0.0985248213972649,0
"32",105.1,0.0636243557357587,0.0344505952280606
"33",110,0.0593268349864411,0
"34",110.1,0.0585091957793498,0.000403936671931253
"35",115,0.056444705415841,0
"36",115.1,NA,0.056444705415841
