"","year","standing","harvest"
"1",30,2.3618429143353,0
"2",30.1,0.225334486873372,2.13491514888005
"3",35,0.746562594106271,0
"4",35.1,0.741320916478859,0
"5",40,1.58452755954935,0
"6",40.1,0.912705361692873,0.665368707649387
"7",45,1.12884299893579,0
"8",45.1,1.11266389600427,0.0083117605689001
"9",50,3.19674635892177,0
"10",50.1,3.00931511788913,0.166153196158103
"11",55,5.1346964966661,0
"12",55.1,5.09864536851877,0
"13",60,5.87486418114859,0
"14",60.1,0.382408403179832,5.48975187264662
"15",65,0.79504278780817,0
"16",65.1,0.789460726737085,0
"17",70,1.17860536071389,0
"18",70.1,1.12027978820691,0.050404380251702
"19",75,1.26935593588751,0
"20",75.1,1.25114730044814,0.00936211476583277
"21",80,1.27418533638562,0
"22",80.1,1.26523917591142,0
"23",85,1.23304023392582,0
"24",85.1,0.218241022709104,1.01325608858158
"25",90,0.211156700180764,0
"26",90.1,0.198469714545115,0.011283660517843
"27",95,0.188682929511411,0
"28",95.1,0.160054682812775,0.0274965437729355
"29",100,0.158668781990709,0
"30",100.1,0.157554755368835,0
"31",105,0.155494209440234,0
"32",105.1,0.148156773130619,0.00628986025206022
"33",110,0.143551094962694,0
"34",110.1,0.0788335549464736,0.0641601294912145
"35",115,0.0704659048086723,0
"36",115.1,0.0686542668484451,0.00132620239977499
"37",120,0.0629435806803626,0
"38",120.1,0.0625016486022675,0
"39",125,0.0574596869550814,0
"40",125.1,NA,0.0574596869550814
