"generation","solution"
0,142
1,149
2,153
3,157
4,157
5,167
6,167
7,170
8,170
9,173
10,176
11,176
12,176
13,178
14,178
15,181
16,186
17,188
18,188
19,188
20,192
21,192
22,194
23,197
24,200
25,205
26,208
27,211
28,211
29,213
30,213
31,213
32,213
33,213
34,213
35,213
36,213
37,213
38,213
39,213
40,215
41,215
42,215
43,215
44,215
45,215
46,215
47,215
48,215
49,215
50,217
51,217
52,217
53,217
54,217
55,217
56,217
57,217
58,217
59,222
60,222
61,222
62,222
63,224
64,224
65,224
66,224
67,228
68,228
69,228
70,228
