"","tree","cutyr","plot","stand","spp","tpa_tree","max_grade","dib","vol_log","vol_ac","grade","roadside","stumprt","stump_log","stump_ac","cumsurv","stump_ac_mortadj"
"1",1,45,"wp",1,"white pine",35,2,10.1929664902667,0.0600205432170139,2.10071901259549,2,177.055613385356,70.2333680312135,4.2154449011939,147.540571541786,0.579507205202206,85.5008242681168
"2",1,45,"wp",1,"white pine",35,2,4.94626515043606,0.00818928108823378,0.286624838088182,5,62.5,1.5,0.0122839216323507,0.429937257132274,0.579507205202206,0.249151738293026
"3",1,45,"wp",1,"white pine",35,2,9.50314804682483,0.0507037813909935,1.77463234868477,2,169.005463945583,65.4032783673501,3.31619352859241,116.066773500734,0.579507205202206,67.2615315282481
"4",1,45,"wp",1,"white pine",35,2,7.26714993177943,0.0257116789804207,0.899908764314724,5,64.5055831460208,2.70334988761245,0.0695076644820477,2.43276825687167,0.579507205202206,1.40980673344434
"5",1,45,"wp",1,"white pine",35,2,8.88918595398453,0.0430487191398602,1.50670516989511,2,153.78532933054,56.2711975983238,2.42240298107382,84.7841043375835,0.579507205202206,49.1329993502453
"6",1,45,"wp",1,"white pine",35,2,8.1650909986365,0.0347917163197093,1.21771007118983,2,120.770443410499,36.4622660462997,1.26858481665663,44.4004685829819,0.579507205202206,25.7303914581922
"7",1,45,"wp",1,"white pine",35,2,6.18892919941187,0.0165047101086024,0.577664853801083,5,62.5,1.5,0.0247570651629036,0.866497280701624,0.579507205202206,0.50214141745471
"8",10,40,"wp",1,"white pine",35,5,9.15226955972297,0.0462554448389717,1.61894056936401,5,62.5,1.5,0.0693831672584576,2.42841085404602,0.501610721657352,1.21811692097857
"9",10,40,"wp",1,"white pine",35,2,7.91825717784837,0.032167787610413,1.12587256636445,5,105.946881064449,27.5681286386693,0.886805706865256,31.038199740284,0.501610721657352,15.5690937706689
"10",10,40,"wp",1,"white pine",35,1,8.51792596562469,0.0387108947563304,1.35488131647156,2,139.041648014104,47.4249888084627,1.83586375058454,64.2552312704591,0.501610721657352,32.231112927835
"11",10,40,"wp",1,"white pine",35,2,7.1887350401047,0.0249796850284486,0.8742889759957,5,62.5,1.5,0.0374695275426729,1.31143346399355,0.501610721657352,0.657829086279406
"12",10,40,"wp",1,"white pine",35,5,6.28393748813436,0.0172416325781774,0.603457140236208,5,62.5,1.5,0.0258624488672661,0.905185710354312,0.501610721657352,0.45405085740475
"13",10,40,"wp",1,"white pine",35,2,5.20706483399501,0.00973062043216312,0.340571715125709,5,62.5,1.5,0.0145959306482447,0.510857572688564,0.501610721657352,0.256251635700434
"14",100,60,"spfr",1,"spruce",35,2,5.39369452538278,0.0109000802348513,0.381502808219797,2,120.747668780246,36.4486012681479,0.397292678270916,13.9052437394821,0.422197681268882,5.87076166428797
"15",100,60,"spfr",1,"spruce",35,2,4.23379198748385,0.00453049949943792,0.158567482480327,5,62.5,1.5,0.00679574924915688,0.237851223720491,0.422197681268882,0.100420235141757
"16",100,60,"spfr",1,"spruce",35,2,4.85475891146822,0.00767413617872116,0.268594766255241,5,62.5,1.5,0.0115112042680817,0.402892149382861,0.422197681268882,0.17010013127088
"17",103,45,"spfr",1,"spruce",35,2,4.15933016909747,0.00419475672734956,0.146816485457235,5,62.5,1.5,0.00629213509102434,0.220224728185852,0.593107412843652,0.130616918778507
"18",106,60,"spfr",1,"spruce",35,2,4.27428850706552,0.00471680098699306,0.165088034544757,5,62.5,1.5,0.0070752014804896,0.247632051817136,0.270696999063307,0.0670332532987879
"19",108,45,"spfr",1,"spruce",35,2,4.51424312628903,0.00587426316828545,0.205599210889991,5,62.5,1.5,0.00881139475242817,0.308398816334986,0.518537507325361,0.159916353484435
"20",108,45,"spfr",1,"spruce",35,2,4.00838714953308,0.00354124847348551,0.123943696571993,5,62.5,1.5,0.00531187271022827,0.185915544857989,0.518537507325361,0.0964041832036981
"21",11,30,"wp",1,"white pine",35,3,4.06428931962596,0.00377904794597845,0.132266678109246,5,62.5,1.5,0.00566857191896767,0.198400017163868,0.136204259538177,0.0270229274301662
"22",11,30,"wp",1,"white pine",35,2,4.50361483152818,0.00582105564032624,0.203736947411419,5,62.5,1.5,0.00873158346048936,0.305605421117128,0.136204259538177,0.041624760094111
"23",113,55,"spfr",1,"hemlock",35,2,4.85970767837293,0.00770165486308651,0.269557920208028,5,62.5,1.5,0.0115524822946298,0.404336880312042,0.569469046015043,0.230257337499997
"24",113,55,"spfr",1,"hemlock",35,2,4.33797749219054,0.00501507967027252,0.175527788459538,5,62.5,1.5,0.00752261950540878,0.263291682689307,0.569469046015043,0.149936463364775
"25",114,80,"spfr",1,"hemlock",35,5,10.1303468092043,0.0591435322043134,2.07002362715097,5,62.5,1.5,0.0887152983064701,3.10503544072645,0.652058403003791,2.02466445075026
"26",114,80,"spfr",1,"hemlock",35,2,8.61926875703639,0.0398732162089117,1.39556256731191,2,99.64466270798,23.786797624788,0.9484561246108,33.195964361378,0.652058403003791,21.6457075076509
"27",114,80,"spfr",1,"hemlock",35,5,4.44645445063376,0.00553798284974583,0.193829399741104,5,62.5,1.5,0.00830697427461874,0.290744099611656,0.652058403003791,0.189582133275551
"28",114,80,"spfr",1,"hemlock",35,2,6.76751523854544,0.0212151698550193,0.742530944925676,3,62.5,1.5,0.031822754782529,1.11379641738851,0.652058403003791,0.726260313193698
"29",114,80,"spfr",1,"hemlock",35,3,7.75612508049687,0.0304970474315536,1.06739666010438,3,62.5,1.5,0.0457455711473304,1.60109499015657,0.652058403003791,1.04400744233886
"30",114,80,"spfr",1,"hemlock",35,2,9.38153370486809,0.049139795818865,1.71989285366027,2,117.233058029675,34.3398348178048,1.68745247140048,59.0608364990167,0.652058403003791,38.5111147276168
"31",114,80,"spfr",1,"hemlock",35,3,5.65745015667517,0.0126473851108116,0.442658478878406,3,62.5,1.5,0.0189710776662174,0.663987718317608,0.652058403003791,0.43295877122031
"32",115,30,"spfr",1,"white pine",35,2,9.42744651856847,0.0497274774586025,1.74046171105109,2,167.637696177488,64.5826177064926,3.21153066621715,112.4035733176,0.951891290445818,106.995982456012
"33",115,30,"spfr",1,"white pine",35,3,10.386793045553,0.0627747194428935,2.19711518050127,3,110.999407612461,30.5996445674766,1.9208841027756,67.2309435971462,0.951891290445818,63.9965496585775
"34",115,30,"spfr",1,"white pine",35,2,4.37131748849366,0.00517379801681932,0.181082930588676,5,62.5,1.5,0.00776069702522898,0.271624395883014,0.951891290445818,0.258556896713648
